image title,MATLAB blobject name,manual blobject name,bialent quality?,manual.SC.length,blobjectClass,bad position,automatic foci position,manual.foci 1 position,,medial foci position,manual.distal foci position,4th foci position,manual.IFD,IFD2,notes
28jul15_22jun15_G_m2_sp1_19_rev,8,blob10,,98.087,1CO,,,37.18,,,,,,,
28jul15_22jun15_G_m2_sp1_19_rev,11,blob11,,64.859,1CO,,,18.547,,,,,,,
28jul15_22jun15_G_m2_sp1_19_rev,13,blob12,,107.759,2CO,,,12.162,,,92.596,,80.434,,
28jul15_22jun15_G_m2_sp1_19_rev,19,blob13,,54.483,1CO,,,23.426,,,,,,,
28jul15_22jun15_G_m2_sp1_19_rev,20,blob14,,87.81,1CO,,,42.516,,,,,,,
28jul15_22jun15_G_m2_sp1_19_rev,21,blob15,,55.605,1CO,,,44.727,,,,,,,
28jul15_22jun15_G_m2_sp1_19_rev,5,blob16,,69.446,1CO,,,36.502,,,,,,,
28jul15_22jun15_G_m2_sp1_19_rev,9,blob17,,74.762,1CO,,,58.879,,,,,,,
28jul15_22jun15_G_m2_sp1_19_rev,12,blob18,,86.495,2CO,,,8.485,,,55.41,,46.925,,
28jul15_22jun15_G_m2_sp1_19_rev,16,blob19,,68.829,1CO,,,59.654,,,,,,,
28jul15_22jun15_G_m2_sp1_19_rev,15,blob20,,167.12,XY,,,,,,,,,,"unpaired, two ids (15,14)"
